ID   Audio     Condition               Interest_Area       Labeled? pts-in-poly    pts-total   pts-in-all     Rel_Ratio    Total_Ratio
032  silent    MultiItem  Labelled     058_hand_2          0        0              120         31             0.0            0.0
032  silent    MultiItem  Labelled     058_legoman_1       1        17             120         31             0.548387096774 0.141666666667
101  sound     OneItem  NonLabelled    024_car_1           0        0              117         95             0.0            0.0
101  sound     OneItem  NonLabelled    024_hand_2          0        95             117         95             1.0            0.811965811966
101  sound     OneItem  NonLabelled    032_boomwhacker_1   1        0              117         95             0.0            0.0
034  sound     MultiItem  Labelled     032_ball_2          0        0              99          99             0.0            0.0
034  sound     MultiItem  Labelled     032_hand_3          0        0              99          99             0.0            0.0
034  sound     MultiItem  Labelled     101_sock_3          0        99             99          99             1.0            1.0
098  sound     OneItem  NonLabelled    101_donut_1         0        145            145         145            1.0            1.0
081  silent    MultiItem  NonLabelled  101_hands_2         0        0              40          29             0.0            0.0
081  silent    MultiItem  NonLabelled  034_chicken_3       0        0              40          29             0.0            0.0
081  silent    MultiItem  NonLabelled  034_boat_2          0        0              40          29             0.0            0.0
081  silent    MultiItem  NonLabelled  034_car_1           1        0              40          29             0.0            0.0
081  silent    MultiItem  NonLabelled  098_ball_3          0        0              40          29             0.0            0.0
081  silent    MultiItem  NonLabelled  081_apple_2         0        29             40          29             1.0            0.725
035  sound     MultiItem  Labelled     081_hand_4          0        102            145         102            1.0            0.703448275862
035  sound     MultiItem  Labelled     081_hands_1         0        0              145         102            0.0            0.0
022  sound     OneItem  NonLabelled    081_sock_5          0        112            112         112            1.0            1.0
008  silent    MultiItem  Labelled     081_sock_6          0        27             134         65             0.415384615385 0.201492537313
008  silent    MultiItem  Labelled     081_donuts+stand_3  0        0              134         65             0.0            0.0
008  silent    MultiItem  Labelled     035_chicken_1       1        0              134         65             0.0            0.0
008  silent    MultiItem  Labelled     035_mic_2           0        16             134         65             0.246153846154 0.119402985075
008  silent    MultiItem  Labelled     022_car_1           0        3              134         65             0.04615384615380.0223880597015
008  silent    MultiItem  Labelled     008_cup_1           1        0              134         65             0.0            0.0
008  silent    MultiItem  Labelled     008_cup_2           1        19             134         65             0.292307692308 0.141791044776
008  silent    MultiItem  Labelled     008_hand_8          0        0              134         65             0.0            0.0
057  sound     OneItem  Labelled       008_hand_7          0        20             97          65             0.307692307692 0.20618556701
057  sound     OneItem  Labelled       008_blocks_5        0        0              97          65             0.0            0.0
057  sound     OneItem  Labelled       008_blocks_4        0        45             97          65             0.692307692308 0.463917525773
075  sound     MultiItem  NonLabelled  008_blocks_3        0        0              108         58             0.0            0.0
075  sound     MultiItem  NonLabelled  008_concrete_6      0        9              108         58             0.155172413793 0.0833333333333
075  sound     MultiItem  NonLabelled  057_hand_3          0        0              108         58             0.0            0.0
075  sound     MultiItem  NonLabelled  057_hand_2          0        49             108         58             0.844827586207 0.453703703704
053  silent    OneItem  Labelled       057_legobridge_1    1        24             45          24             1.0            0.533333333333
